time,seconds_elapsed,z,y,x
1760565911904965600,5.759965576171875,61.76007080078125,47.26032638549805,-22.40312957763672
1760565911914994700,5.76999462890625,61.66041564941406,47.24552917480469,-22.51068878173828
1760565911925023500,5.7800234375,61.76732635498047,47.43792724609375,-22.722877502441406
1760565911935052500,5.790052490234375,61.87604522705078,47.29775619506836,-22.884220123291016
1760565911945081600,5.80008154296875,61.85773468017578,47.37177276611328,-22.838054656982422
1760565911955110700,5.810110595703125,61.46168518066406,47.52912521362305,-22.842609405517578
1760565911965139700,5.8201396484375,61.952781677246094,47.57319641113281,-22.905330657958984
1760565911975168800,5.830168701171875,61.87244415283203,47.67544937133789,-22.840240478515625
1760565911985197600,5.840197509765625,61.622039794921875,47.53717803955078,-22.882003784179688
1760565911995226600,5.8502265625,61.601768493652344,47.435733795166016,-22.633827209472656
1760565912005255700,5.860255615234375,61.70393371582031,47.41864013671875,-23.068965911865234
1760565912015284500,5.870284423828125,61.915794372558594,47.515403747558594,-22.918132781982422
1760565912025313500,5.8803134765625,61.709877014160156,47.557918548583984,-22.74005126953125
1760565912035342600,5.890342529296875,61.77106475830078,47.67832565307617,-22.736209869384766
1760565912045371600,5.90037158203125,61.96434783935547,47.713043212890625,-22.99453353881836
1760565912055400700,5.910400634765625,61.64727783203125,47.578582763671875,-23.032501220703125
1760565912065429800,5.9204296875,61.60541534423828,47.56651306152344,-23.05652618408203
1760565912075458600,5.93045849609375,61.71641540527344,47.516727447509766,-22.971595764160156
1760565912085487600,5.940487548828125,61.88746643066406,47.631683349609375,-22.746078491210938
1760565912095516700,5.9505166015625,61.77424621582031,47.753170013427734,-22.6568603515625
1760565912105545500,5.96054541015625,61.977928161621094,47.73566436767578,-22.603984832763672
1760565912115574500,5.970574462890625,61.745704650878906,47.7136116027832,-22.549068450927734
1760565912125603600,5.980603515625,61.770301818847656,47.61981964111328,-22.599403381347656
1760565912135632600,5.990632568359375,62.08412170410156,47.6378288269043,-22.593013763427734
1760565912145661700,6.00066162109375,62.0111083984375,47.73421096801758,-22.695648193359375
1760565912155690800,6.010690673828125,61.772987365722656,47.919281005859375,-22.656177520751953
1760565912165719600,6.020719482421875,61.591796875,47.734989166259766,-22.733272552490234
1760565912175748600,6.03074853515625,61.86921691894531,47.82219696044922,-22.68553924560547
1760565912185777700,6.040777587890625,61.87183380126953,47.696529388427734,-22.634620666503906
1760565912195806500,6.050806396484375,61.725921630859375,47.691959381103516,-22.967453002929688
1760565912205835500,6.06083544921875,61.800262451171875,47.57455825805664,-22.788028717041016
1760565912215864600,6.070864501953125,61.95637512207031,47.53045654296875,-22.609146118164062
1760565912225893600,6.0808935546875,61.94438934326172,47.69651412963867,-22.46422576904297
